strongs_id,definition,short_def,etymology
H258,"1) (Hithpael) to go one way or another, to be sharp","to unify, i.e. (figuratively) collect (one's thoughts)",perhaps a primitive root;
H259,"1) one (number)
1a) one (number)
1b) each, every
1c) a certain
1d) an (indefinite article)
1e) only, once, once for all
1f) one...another, the one...the other, one after another, one by one
1g) first
1h) eleven (in combination), eleventh (ordinal)","properly, united, i.e. one; or (as an ordinal) first",a numeral from ;
H260,"1) reeds, marsh plants, rushes",a bulrush or any marshy grass (particularly that along the Nile),of uncertain (perhaps Egyptian) derivation;
H261,"Ehud = ""united""
1) great grandson of Benjamin","Echud, the name of three Israelites",from ; united;
H262,1) declaration,an utterance,from (in the sense of );
H263,"1) declaration, a declaring",solution (of riddles),(Aramaic) corresponding to ;
H264,"1) fraternity, brotherhood",fraternity,from ;
H265,"Ahoah = ""brother of rest""
1) a grandson of Benjamin","Achoach, an Israelite",by reduplication from ; brotherly;
H266,"Ahohite = ""brother of rest""
1) one of the clan of Ahoah",an Achochite or descendant of Achoach,patronymic from ;
H267,"Ahumai = ""a water reed: brother of waters""
1) grandson of Shobal, descendant of Judah","Achumai, an Israelite",perhaps from and ; brother (i.e. neighbour) of water;
H268,"1) the back side, the rear
1a) backwards
1b) hereafter (of time)
1c) behind","the hinder part; hence (adverb) behind, backward; also (as facing north) the West",or (shortened) ; from ;
H269,"1) sister
1a) sister (same parents)
1b) half-sister (same father)
1c) relative
1c1)(metaph) of Israel's and Judah's relationship
1d) beloved
1d1) bride
1e) (fig.) of intimate connection
1f) another","a sister (used very widely (like brother), literally and figuratively)",irregular feminine of ;
H270,"1) grasp, take hold, seize, take possession
1a) (Qal) to grasp, take hold of
1b) (Niphal) to be caught, grasped, be settled
1c) (Piel) to enclose, overlay
1d) (Hophal) fastened",to seize (often with the accessory idea of holding in possession),a primitive root;
H271,"Ahaz = ""he has grasped""
1) king of Judah, son Jotham, father of Hezekiah
2) a Benjamite, son of Micah, and great grandson of Jonathan","Achaz, the name of a Jewish king and of an Israelite",from ; possessor;
H272,"1) possession, property
1a) land
1b) possession by inheritance","something seized, i.e. a possession (especially of land)",feminine passive participle from ;
H273,"Ahasai = ""my holder, protector""
1) a post-exilic priest, in Jerusalem","Achzai, an Israelite",from ; seizer;
H274,"Ahaziah = ""Jehovah (Yahu) holds (possesses)""
1) ruler of Israel, son of Ahab
2) ruler of Judah, son of Jehoram (Joram)","Achazjah, the name of a Jewish and an Israelite king",or (prolonged) ; from and ; Jah has seized;
H275,"Ahuzam = ""possessor""
1) a descendant of Judah through Caleb","Achuzzam, an Israelite",from ; seizure;
H276,"Ahuzzath = ""possession""
1) friend of Abimelech","Achuzzath, a Philistine",a variation of ; possession;
H277,"Ahi = ""my brother""
1) a head of the families of Gad
2) an Asherite","Achi, the name of two Israelites",from ; brotherly;
H278,"Ehi = ""my brother""
1) son of Benjamin","Echi, an Israelite",probably the same as ;
H279,"Ahiam = ""mother's brother""
1) one of David's warriors (heroes)","Achiam, an Israelite",from and ; brother of the mother (i.e. uncle);
H280,"1) puzzle, riddle",an enigma,"(Aramaic) corresponding to ,"
H281,"Ahiah or Ahijah = ""brother of Jehovah (Yahu)""
1) grandson of Phinehas
2) scribe of Solomon
3) a prophet who predicted the revolt of the Northern tribes
4) father of Baasha, who usurped the Northern throne
5) grandson of Hezron (or mother of 1-4 above)
6) a Benjamite, son of Ehud
7) one of David's heroes
8) a Levite during David's time
9) a chief man under Nehemiah","Achijah, the name of nine Israelites",or (prolonged) ; from and ; brother (i.e. worshipper) of Jah;
H282,"Ahihud = ""brother of majesty""
1) a prince of Asher","Achihud, an Israelite",from and ; brother (i.e. possessor) of renown;
H283,"Ahio = ""brotherly"" or ""fraternal""
1) son of Abinadab who sheltered the ark
2) a Benjamite
3) another Benjamite of Saul's ancestry","Achio, the name of three Israelites",prolonged from ; brotherly;
H284,"Ahihud = ""brother of mystery""
1) a Benjamite, son of Ehud","Achichud, an Israelite",from and ; brother of a riddle (i.e. mysterious);
H285,"Ahitub = ""my brother is good (goodness)""
1) a grandson of Eli
2) the father of Zadok the priest","Achitub, the name of several priests",from and ; brother of goodness;
H286,"Ahilud = ""child's brother""
1) father of Jehoshaphat, David's recorder
2) father of Baana, an officer of Solomon","Achilud, an Israelite",from and ; brother of one born;
H287,"Ahimoth = ""brother of death"" or ""my brother is death""
1) a son of Elkanah, a Levite","Achimoth, an Israelite",from and ; brother of death;
H288,"Ahimelech = ""my brother is king"" or ""brother of Melek""
1) a priest murdered by Doeg at Saul's command, for supposedly assisting David
2) a Hittite warrior under David","Achimelek, the name of an Israelite and of a Hittite",from and ; brother of (the) king;
H289,"Ahiman = ""my brother is a gift""
1) a son of Anak
2) a Levite servant in the temple","Achiman, the name of an Anakite and of an Israelite",or ; from and ; brother of a portion (i.e. gift);
H290,"Ahimaaz = ""my brother is anger (wrath)""
1) father-in-law of Saul
2) Zadok's son who aided David during Absalom's rebellion
3) a supply officer of Solomon","Achimaats, the name of three Israelites",from and the equivalent of ; brother of anger;
H291,"Ahian = ""brotherly"" or ""fraternal""
1) son of Shemida of Manasseh","Achjan, an Israelite",from ; brotherly;
H292,"Ahinadab = ""my brother is liberal, or, noble""
1) a supply officer of Solomon","Achinadab, an Israelite",from and ; brother of liberality;
H293,"Ahinoam = ""my brother is delight""
1) wife of Saul, daughter of Ahimaaz
2) wife of David, mother of Amnon, a Jezreelitess","Achinoam, the name of two Israelitesses",from and ; brother of pleasantness;
H294,"Ahisamach = ""my brother is support (has supported)""
1) a Danite, father of Aholiab, a workman on the tabernacle","Achisamak, an Israelite",from and ; brother of support;
H295,"Ahiezer = ""my brother is help""
1) a Danite chief who assisted Moses
2) a Danite chief, one of David's heroes","Achiezer, the name of two Israelites",from and ; brother of help;
H296,"Ahikam = ""my brother has risen (arisen)""
1) son of Shaphan, an officer in Josiah's reign
2) protector of Jeremiah
3) father of Gedaliah","Achikam, an Israelite",from and ; brother of rising (i.e. high);
H297,"Ahiram = ""my brother is exalted"" or ""brother or (the) lofty""
1) a Benjamite, son of Benjamin","Achiram, an Israelite",from and ; brother of height (i.e. high);
H298,"Ahiramite = ""brother of mother""
1) one of the clan of Ahiram",an Achiramite or descendant (collectively) of Achiram,patronymic from ;
H299,"Ahira = ""my brother is evil""
1) a chief of Naphtali","Achira, an Israelite",from and ; brother of wrong;
H300,"Ahishahar = ""my brother is dawn"" or ""brother of the dawn""
1) a Benjamite","Achishachar, an Israelite",from and ; brother of (the) dawn;
H301,"Ahishar = ""my brother sang""
1) chief steward for Solomon","Achishar, an Israelite",from and ; brother of (the) singer;
H302,"Ahithophel = ""my brother is foolish (folly)""
1) a counsellor of David, grandfather of Bathsheba (cf 2Sa 11:3, 23:34), who joined Absalom in revolt against David, and committed suicide when Absalom did not heed his counsel","Achithophel, an Israelite",from and ; brother of folly;
H303,"Ahlab = ""fertile place""
1) a town allotted to Asher, site presently unknown","Achlab, a place in Palestine",from the same root as ; fatness (i.e. fertile);
H304,"Ahlai = ""O! would that!""
1) daughter of Sheshan
2) father of one of David's heroes (mighty men, warriors)","Achlai, the name of an Israelitess and of an Israelite",the same as ; wishful;
H305,1) Oh that...!; oh would that!; ah that!,would that!,or ; prob from and a variation of ;
H306,"1) amethyst, a gem in the third row on the ephod, breastplate of judgment worn by the high priest. Transliteration of the Septuagint word. Identification is not certain but is a purple stone perhaps a corundum or red or brown jasper.","a gem, probably the amethyst",perhaps from (and thus dream-stone);
H307,"Achmetha = ""Ecbatana""
1) capital of Media, captured by Cyrus in 550 BC and then summer residence of Persian kings","Achmetha (i.e. Ecbatana), the summer capital of Persia",of Persian derivation;
H308,"Ahasbai = ""brother of my encompassers""
1) father of Eliphelet, one of David's heroes","Achasbai, an Israelite",of uncertain derivation;
H309,"1) to delay, hesitate, tarry, defer, remain behind
1a) (Qal)
1a1) to delay, tarry (intensive)
1a2) to cause one to delay, hinder, keep back
1b) (Piel) to delay, wait, stay behind (but not in hope)",to loiter (i.e. be behind); by implication to procrastinate,a primitive root;
H310,"1) after the following part, behind (of place), hinder, afterwards (of time)
1a) as an adverb
1a1) behind (of place)
1a2) afterwards (of time)
1b) as a preposition
1b1) behind, after (of place)
1b2) after (of time)
1b3) besides
1c) as a conjunction
1c) after that
1d) as a substantive
1d1) hinder part
1e) with other prepositions
1e1) from behind
1e2) from following after","properly, the hind part; generally used as an adverb or conjunction, after (in various senses)",from ;
H311,1) after,after,(Aramaic) corresponding to ;
H312,"1) another, other, following
1a) following, further
1b) other, different","properly, hinder; generally, next, other, etc.",from ;
H313,"Aher = ""following""
1) a Benjamite","Acher, an Israelite",the same as ;
H314,"1) behind, following, subsequent, western
1a) behind, hindermost, western (of location)
1b) later, subsequent, latter, last (of time)","hinder; generally, late or last; specifically (as facing the east) western",or (shortened) ; from ;
H315,"Aharah = ""a following brother""
1) a son of Benjamin","Achrach, an Israelite",from and ; after (his) brother;
H316,"Aharhel = ""a following host""
1) a descendant of Judah through Caleb","Acharchel, an Israelite",from and ; behind (the) intrenchment (i.e. safe);
H317,"1) other, another",other,(Aramaic) from ;
H318,"1) end, outcome
1a) hid part (of cows)
1b) end (of time)
1c) remnant, descendants",last,(Aramaic) or (shortened) ; (Aramaic) from ;
H319,"1) after part, end
1a) end, issue, event
1b) latter time (prophetic for future time)
1c) posterity
1d) last, hindermost","the last or end, hence, the future; also posterity",from ;
H320,"1) end, latter",later,(Aramaic) from ; the same as ;
H321,"1) other, another",other,(Aramaic) from ; the same as ;
H322,"1) backwards, back part, the rear",backwards,prolonged from ;
H323,"1) satrap, a governor of a Persian province",a satrap or governorof amain province (of Persia),of Persian derivation;
H324,"1) satrap, a governor of a Persian province",{a satrap or governorof amain province (of Persia)},(Aramaic) corresponding to
H325,"Ahasuerus = ""I will be silent and poor""
1) title of the king of Persia, probably Xerxes","Achashverosh (i.e. Ahasuerus or Artaxerxes, but in this case Xerxes), the title (rather than name) of a Persian king",or (shortened) (Esther 10:1); of Persian origin;
H326,"Haahashtari = ""I will diligently observe the searching""
1) a descendant of Ashur of Judah",an achastarite (i.e. courier); the designation (rather than name) of an Israelite,probably of Persian derivation;
H327,1) royal (steeds),a mule,of Persian origin;
H328,"1) gentleness, softness
1a) gently
1b) flowing
1c) softly
1d) enchanter, necromancer (substantive)","(as a noun) a necromancer (from their soft incantations), (as an adverb) gently",from an unused root perhaps meaning to move softly;
H329,"1) bramble, thorn, buckthorn
2) the threshing Atad, meaning thorn, also called Abelmizraim and afterwards called Bethhogla was located on the west of Jordan between the Jordan and Jericho",a thorn-tree (especially the buckthorn),from an unused root probably meaning to pierce or make fast;
H330,"1) linen, yarn, thread","properly, twisted (yarn), i.e. tapestry",from an unused root (probably meaning to bind);
H331,"1) to shut, shut up, close
1a) (Qal) to shut, stop (of lips)
1b) (Hiphil) of the wicked stopping their ears (fig.)",to close (the lips or ears); by analology to contract (a window by bevelled jambs),a primitive root;
H332,"1) (Qal) shut
1a) to shut up, close, bind
1b) close one's mouth",to close up,a primitive root;
H333,"Ater = ""binder""
1) an exiled descendant of Hezekiah
2) an exiled Levite porter (perhaps same as 1)
3) a chief Israelite who sealed Nehemiah's covenant","Ater, the name of three Israelites",from ; maimed;
H334,"1) bound, impeded (on the right, ie, left-handed), shut, shut up","shut up, i.e. impeded (as to the use of the right hand)",from ;
H335,"1) where?, whence?
2) which?, how? (in prefix with other adverb)",where? hence how?,perhaps from ;
H336,1) not,not,probably identical with (through the idea of a query);
H337,"1) alas!, woe!",alas!,short from ;
H338,"1) howling beast, jackal","a howler (used only in the plural), i.e. any solitary wild creature",probably identical with (through the idea of a doleful sound);
H339,"1) coast, island, shore, region","properly, a habitable spot (as desirable); dry land, a coast, an island",from ;
H340,"1) to be hostile to, to be an enemy to
1a) (Qal)
1a1) to be hostile to
1a2) to treat as an enemy",to hate (as one of an opposite tribe or party); hence to be hostile,a primitive root;
H341,"1) (Qal) enemy
1a) personal
1b) national",hating; an adversary,or (fully) ; active participle of ;
H342,"1) enmity, hatred",hostility,from ;
H343,"1) distress, burden, calamity
1a) burden (of the righteous)
1b) calamity (of nation)
1c) disaster (of wicked)
1d) day of calamity","oppression; by implication misfortune, ruin",from the same as (in the sense of bending down);
H344,"1) hawk, falcon, kite","the screamer, i.e. a hawk",perhaps from ;
H345,"Aiah or Ajah = ""falcon""
1) a Horite, son of Zibeon
2) father of Rizpah, Saul's concubine","Ajah, the name of two Israelites",the same as ;
H346,"1) where?
1a) of persons, things
1b) rhetorical",where?,prolonged from ;
H347,"Job = ""hated""
1) a patriarch, the subject of the book of Job","Ijob, the patriarch famous for his patience",from ; hated (i.e. persecuted);
H348,"Jezebel = ""Baal exalts"" or ""Baal is husband to"" or ""unchaste""
1) queen of Israel, wife of Ahab, daughter of Ethbaal","Izebel, the wife of king Ahab","from lemma אי missing vowel, corrected to אִי and ;"
H349,"interrog adv
1) how?
interj
2) how! (in lamentation)
3) expression of satisfaction",how? or how!; also where,also ; and ; prolonged from ;
H350,"Ichabod = ""no glory""
1) a son of Phinehas, so named because of the capture of the Ark by the Philistines","Ikabod, a son of Phineas","from lemma אי missing vowel, corrected to אִי and ; (there is) no glory, i.e. inglorious;"
H351,1) where!,where,"probably a variation for , but not as an interogative;"
H352,"1) ram
1a) ram (as food)
1b) ram (as sacrifice)
1c) ram (skin dyed red, for tabernacle)
2) pillar, door post, jambs, pilaster
3) strong man, leader, chief
4) mighty tree, terebinth","properly, strength; hence, anything strong; specifically a chief (politically); also a ram (from his strength); a pilaster (as a strong support); an oak or other strong tree",from the same as ;
H353,"1) strength
2) help",strength,a variation of ;
H354,"1) stag, deer, hart",a stag or male deer,an intensive form of (in the sense of ram);
H355,"1) doe, deer, hind",a doe or female deer,feminine of ;
H356,"Elon = ""terebinth, mighty""
1) Hittite, father-in-law of Esau
2) second son of Zebulun
3) Zebulonite judge of Israel
4) town in Dan","Elon, the name of a place in Palestine, and also of one Hittite, two Israelites",or (shortened) ; or ; from ; oak-grove;
H357,"Ajalon or Aijalon = ""field of deer""
1) Levitical city in Dan, 14 miles or 25 km NW of Jerusalem, later ruled by the Amorites, then the Benjamites of Judah, then by the Philistines
2) a city of Zebulun, site unknown","Ajalon, the name of five places in Palestine",from ; deer-field;
H358,"Elon Beth-hanan = ""oak of the house of grace""
1) a city of Dan","Elon of Beth-chanan, a place in Palestine","from , , and ; oak-grove of (the) house of favor;"
H359,"Elath or Eloth = ""grove of lofty trees""
1) a port on the north-east arm of the Red Sea","Eloth or Elath, a place on the Red Sea",or ; from ; trees or a grove (i.e. palms);
H360,"1) strength, my help","power; by implication, protection",feminine of ;
H361,"1) porch, vestibule, portico","a pillar-space (or colonnade), i.e. a pale (or portico)",or (shortened) ; or (feminine) ; probably from ;
H362,"Elim = ""palms""
1) second encampment of the Israelites after the Exodus","Elim, a place in the Desert",plural of ; palm-trees;
H363,1) tree,a tree,(Aramaic) corresponding to ;
H364,"El-paran = ""palm of Paran""
1) town and harbour at tip of Gulf of Aqaba on the Red Sea","El-Paran, a portion of the district of Paran",from and ; oak of Paran;
H365,"1) doe, deer, hind
2) ""Aijeleth Shahar"" is part of the title of Ps 22:1 and probably describes to the musician the melody to which the psalm was to be played",a doe,the same as ;
H366,"1) terrible, dreadful",frightful,from an unused root (meaning to frighten);
H367,"1) terror, dread","fright; concrete, an idol (as a bugbear)",or (shortened) ; from the same as ;
H368,"Emims = ""terrors""
1) ancient inhabitants of Moab","Emim, an early Canaanitish (or Maobitish) tribe",plural of ; terrors;
H369,"1) nothing, not, nought n
1a) nothing, nought neg
1b) not
1c) to have not (of possession) adv
1d) without w/prep
1e) for lack of",a non-entity; generally used as a negative particle,as if from a primitive root meaning to be nothing or not exist;
H370,"1) where?, whence?","where? (only in connection with prepositional prefix, whence)","probably identical with in the sense of query (compare lemma אי missing vowel, corrected to אִי)"
H371,"1) Is there not?, Have you not?",is it not?,apparently a shortened form of ; but (like ) an interrogative;
H372,"Jeezer = ""no help""
1) a descendant of Manasseh","Iezer, an Israelite","from lemma אי missing vowel, corrected to אִי and ; helpless;"
H373,"Jeezerite = ""no help""
1) one of the tribe of Jeezer",an Iezrite or descendant of Iezer,patronymic from ;
H374,"1) ephah
1a) a dry measure of quantity, equal to 3 seahs, 10 omers; the same as the liquid measure bath; (about 9 imperial gallons (40 l), rabbinical writings give sizes of one-half this amount)
1b) the receptacle for measuring or holding that amount","an ephah or measure for grain; hence, a measure in general",or (shortened) ; of Egyptian derivation;
H375,"1) where?
2) what kind?",what place?; also (of time) when?; or (of means) how?,from and ;
H376,"1) man
1a) man, male (in contrast to woman, female)
1b) husband
1c) human being, person (in contrast to God)
1d) servant
1e) mankind
1f) champion
1g) great man
2) whosoever
3) each (adjective)",a man as an individual or a male person; often used as an adjunct to a more definite term (and in such cases frequently not expressed in translation),contracted for (or perhaps rather from an unused root meaning to be extant);
H377,"1) (Hithpalel) to be a man, show masculinity, champion, great man","to be a man, i.e. act in amanly way",denominative from ;
H378,"Ishbosheth = ""man of shame""
1) surviving son of Saul, king of Israel for 7 years while David was king over Judah; succeeded by David who united the kingdom","Ish-Bosheth, a son of King Saul",from and ; man of shame;
H379,"Ishod = ""man of majesty""
1) a Manassite from east of the Jordan","Ishod, an Israelite",from and ; man of renown;
H380,"1) pupil of the eye
2) middle of the night (that is the deepest blackness)","the little man of the eye; the pupil or ball; hence, the middle (of night)",diminutive from ;
H381,"1) a mighty man, valiant man","Ishchail (or Ish-chai), an Israelite",from and ; man of might; by defective transcription (2 Samuel 23:20) xlit ʼÎsh-Chay corrected to ʼÎysh-Chay; as if from and ; living man;
H382,"Ishtob = ""man of Tob""
1) a region beyond Jordan, north or northeast of Gilead","Ish-Tob, a place in Palestine",from and ; man of Tob;
H383,"1) there is, there are
2) particle denoting existence","properly, entity; used only as aparticle of affirmation, there is",(Aramaic) corresponding to ;
H384,"Ithiel = ""God is with me""
1) the disciple to whom Agur gave proverbs
2) a Benjamite in Nehemiah's time","Ithiel, the name of an Israelite, also of a symbolical person",perhaps from and ; God has arrived;
H385,"Ithamar = ""coast of palms""
1) fourth and youngest son of Aaron","Ithamar, a son of Aaron",from and ; coast of the palm-tree;
