strongs_id,definition,short_def,etymology
H201,"Omar = ""speaker"" or ""eloquent""
1) grandson of Esau","Omar, a grandson of Esau",from ; talkative;
H202,"1) vigour, generative power
2) wealth
3) physical strength (of men and behemoth)","ability, power, (figuratively) wealth","probably from the same as (in the sense of effort, but successful);"
H203,"On = ""wealth"" or ""vigour""
1) a chief of the tribe of Reuben","On, an Israelite",the same as ;
H204,"On = ""strength or vigour""
1) city in lower Egypt, bordering land of Goshen, centre of sun-worship, residence of Potipherah (priest of On and father-in-law of Joseph)","On, a city of Egypt",or (shortened); ; of Egyptian derivation;
H205,"1) trouble, wickedness, sorrow
1a) trouble, sorrow
1b) idolatry
1c) trouble of iniquity, wickedness","strictly nothingness; also trouble. vanity, wickedness; specifically an idol","from an unused root perhaps meaning properly, to pant (hence, to exert oneself, usually in vain; to come to naught);"
H206,"Aven = ""vanity""
1) a name used contemptuously for the following places of idolatrous worship
1a) a city in Egypt, possibly On (Eze 30:17)
1b) Bethel with its calf worship (Ho 10:8)
1c) A town or region in Syria (Am 1:5)","Aven, the contemptuous synonym of three places, one in Coele-Syria, one in Egypt (On), and one in Palestine (Bethel)",the same as ; idolatry;
H207,"Ono = ""vigorous""
1) city in Benjamin
2) a valley (of craftsman)","Ono, a place in Palestine",or (shortened) ; prolonged from ; strong;
H208,"Onam = ""vigorous""
1) a Horite chief, grandson of Seir
2) son Jerahmeel, a chief of Judah","Onam, the name of an Edomite and of an Israelite",a variation of ; strong;
H209,"Onan = ""strong""
1) second son of Judah, slain by God for not fulfilling the levitical requirement to beget a child with the wife of a dead, childless brother","Onan, a son of Judah",a variation of ; strong;
H210,"Uphaz = ""desire of fine gold""
1) a place famous for its gold (site unknown)","Uphaz, a famous gold region",perhaps a corruption of ;
H211,"Ophir = ""reducing to ashes""
1) eleventh son of Joktan
2) a land or city in southern Arabia in Solomon's trade route where gold evidently was traded for goods
3) characteristic of fine gold
4) fine gold","Ophir, the name of a son of Joktan, and of a gold region in the East",or (shortened) ; and ; of uncertain derivation;
H212,"1) wheel
1a) chariot wheel
1b) wheel in Ezekiel's vision
1c) wheels of the ten bases beneath the lavers in Solomon's temple",a wheel,or (shortened) ; from an unused root meaning to revolve;
H213,"1) to press, be pressed, make haste, urge, be narrow
1a) (Qal)
1a1) to press, hasten
1a2) to be pressed, confined, narrow
1a3) to hasten, make haste
1a4) be narrow
1b) (Hiphil)
1b1) to urge, insist
1b2) to hasten","to press; (by implication) to be close, hurry, withdraw",a primitive root;
H214,"1) treasure, storehouse
1a) treasure (gold, silver, etc)
1b) store, supplies of food or drink
1c) treasure-house, treasury
1c1) treasure-house
1c2) storehouse, magazine
1c3) treasury
1c4) magazine of weapons (fig. of God's armoury)
1c5) storehouses (of God for rain, snow, hail, wind, sea)",a depository,from ;
H215,"1) to be or become light, shine
1a) (Qal)
1a1) to become light (day)
1a2) to shine (of the sun)
1a3) to become bright
1b) (Niphal)
1b1) to be illuminated
1b2) to become lighted up
1c) (Hiphil)
1c1) to give light, shine (of sun, moon, and stars)
1c2) to illumine, light up, cause to shine, shine
1c3) to kindle, light (candle, wood)
1c4) lighten (of the eyes, his law, etc)
1c5) to make shine (of the face)","to be (causative, make) luminous (literally and metaphorically)",a primitive root;
H216,"1) light
1a) light of day
1b) light of heavenly luminaries (moon, sun, stars)
1c) day-break, dawn, morning light
1d) daylight
1e) lightning
1f) light of lamp
1g) light of life
1h) light of prosperity
1i) light of instruction
1j) light of face (fig.)
1k) Jehovah as Israel's light","illumination or (concrete) luminary (in every sense, including lightning, happiness, etc.)",from ;
H217,"1) flame, light of fire",flame; hence (in the plural) the East (as being the region of light),from ;
H218,"Ur = ""flame""
1) city in southern Babylonia, city of the Chaldeans, centre of moon worship, home of Abraham's father, Terah, and departure point for the Abraham's migration to Mesopotamia and Canaan","Ur, a place in Chaldaea; also an Israelite",the same as ;
H219,"1) light
2) light of joy and happiness (fig.)","luminousness, i.e. (figuratively) prosperity; also a plant (as being bright)",feminine of ;
H220,"1) manger, stall, crib",a stall,by transposition for ;
H221,"Uri = ""fiery""
1) a prince of Judah, a son of Hur who was used by God to prepare the tabernacle
2) an officer (or the father of an officer) of Solomon in Gilead
3) a porter or gatekeeper in time of Ezra who took a foreign woman as wife","Uri, the name of three Israelites",from ; fiery;
H222,"Uriel = ""God (El) is my light""
1) chief of the Levitical line of Kohath in David's time
2) maternal grandfather of Abijah","Uriel, the name of two Israelites",from and ; flame of God;
H223,"Uriah or Urijah = ""Jehovah (Yahweh) is my light (flame)""
1) Hittite husband of Bathsheba
2) a priest who built king Ahaz' heathen altar
3) a priest who rebuilt Jerusalem's wall
4) a prophet slain by Jehoiakim","Urijah, the name of one Hittite and five Israelites",or (prolonged) ; from and ; flame of Jah;
H224,"Urim = ""lights""
1) stones kept in a pouch on the high-priest's breastplate, used in determining God's decision in certain questions and issues","Urim, the oracular brilliancy of the figures in the high-priest's breastplate",plural of ; lights;
H225,"1) (Niphal) to consent, agree","properly, to come, i.e. (implied) to assent",a primitive root;
H226,"1) sign, signal
1a) a distinguishing mark
1b) banner
1c) remembrance
1d) miraculous sign
1e) omen
1f) warning
2) token, ensign, standard, miracle, proof","a signal (literally or figuratively), as aflag, beacon, monument, omen, prodigy, evidence, etc.",probably from (in the sense of appearing);
H227,"1) then, at that time
1a) temporal expressions
1a1) then (past)
1a2) then, if...then (future)
1a3) earlier
1b) logical expressions
1b1) in that case
1b2) that (being so)","at that time or place; also as a conjunction, therefore",a demonstrative adverb;
H228,"1) (P'al) make hot, heat",to kindle; (by implication) to heat,(Aramaic) or (Aramaic);
H229,"Ezbai = ""my humblings""
1) father of one of David's mighty men","Ezbai, an Israelite",probably from ; hyssop-like;
H230,1) (P'al) to be gone,firm,(Aramaic) of uncertain derivation;
H231,"1) hyssop, a plant used for medicinal and religious purposes",hyssop,probably of foreign derivation;
H232,"1) waist-cloth, the innermost piece of clothing
1a) of God's power over kings (fig.)
1b) of faithfulness (metaph)
2) waistband","something girt; a belt, also a band",from ;
H233,"1) then, in that case",at that time,probably from ;
H234,"1) memorial-offering, the portion of the meal (food) offering which is burned",a reminder; specifically remembrance-offering,from ;
H235,"1) to go, to go away, to go about
1a) (Qal)
1a1) to go away
1a2) to go about
1a3) to be used up, be exhausted, be gone, evaporated
1b) (Pual) to go to and fro","to go away, hence, to disappear",a primitive root;
H236,"1) to go, to go off
1a) (P'al) to go, go off",to depart,(Aramaic) the same as ;
H237,"Ezel = ""departure""
1) a memorial stone between Ramah and Nob; scene of final farewell between David and Jonathan","Ezel, a memorial stone in Palestine",from ; departure;
H238,"1) to hear, listen
1a) (Hiphil)
1a1) to hear, listen, give ear
1a2) to be obedient, harken
1a3) to hear or listen to prayers (of God)","to broaden out the ear (with the hand), i.e. (by implication) to listen",a primitive root; probably to expand; but used only as a denominative from ;
H239,"1) (Piel) weigh, test, prove, consider","to weigh, i.e. (figuratively) ponder",a primitive root (rather identical with through the idea of scales as if two ears);
H240,"1) tools, implements, weapons",a spade or paddle (as having a broad end),from ;
H241,"1) ear, as part of the body
2) ear, as organ of hearing
3) (subjective) to uncover the ear to reveal; the receiver of divine revelation",broadness. i.e. (concrete) the ear (from its form in man),from ;
H242,"Uzzen Sherah = ""portion of Sherah""
1) city built by Sherah, Ephraim's daughter","Uzzen-Sheerah, a place in Palestine",from and ; plot of Sheerah (i.e. settled by him);
H243,"Aznoth Tabor = ""peaks of Tabor""
1) a pair of hills on Naphtali's border","Aznoth-Tabor, a place in Palestine",from and ; flats (i.e. tops) of Tabor (i.e. situated on it);
H244,"Ozni or Oznite = ""my ear (hearing)""
1) son of Gad
2) pertaining to Ozni and his descendants","Ozni, an Israelite; also an Oznite (collectively), his descendant",from ; having (quick) ears;
H245,"Azaniah = ""Jehovah (Yahweh) hears""
1) the father of Jeshua, a Levite","Azanjah, an Israelite",from and ; heard by Jah;
H246,"1) chains, manacles",manacles,a variation for ;
H247,"1) gird, encompass, equip, clothe
1a) (Qal) to gird, gird on (metaphorical of strength)
1b) (Niphal) be girded
1c)(Piel) hold close, clasp
1d) (Hiphpael) gird oneself (for war)",to belt,a primitive root;
H248,1) arm,the arm,a variation for ;
H249,"1) a native (one rising from the soil)
1a) of man, native Israelites
1b) of tree, native (to Israel)","a spontaneous growth, i.e. native (tree or persons)",from (in the sense of springing up);
H250,"Ezraite = ""a native (as arising out of the soil)""
1) Ezrahite, of the family of Zerach",an Ezrachite or descendant of Zerach,patronymic from ;
H251,"1) brother
1a) brother of same parents
1b) half-brother (same father)
1c) relative, kinship, same tribe
1d) each to the other (reciprocal relationship)
1e) (fig.) of resemblance",a brother (used in the widest sense of literal relationship and metaphorical affinity or resemblance (like father)),a primitive word;
H252,1) brother,{a brother (used in the widest sense of literal relationship and metaphorical affinity or resemblance)},(Aramaic) corresponding to
H253,"1) ah!, alas!, woe!",Oh! (expressive of grief or surprise),a variation for ;
H254,"1) fire-pot, brazier",a fire-pot or chafing dish,of uncertain derivation;
H255,"1) howling animal
1a) jackal
1b) hyena",a howler or lonesome wild animal,probably from ;
H256,"Ahab = ""father's brother""
1) king of Israel, son of Omri, husband of Jezebel
2) false prophet executed by Nebuchadrezzar, time of Jeremiah","Achab, the name of a king of Israel and of a prophet at Babylon",once (by contraction) (Jeremiah 29:22); from and ; brother (i.e. friend) of (his) father;
H257,"Ahban = ""brother of an understanding (intelligent) one""
1) son of Abishur of Judah","Achban, an Israelite",from and ; brother (i.e. possessor) of understanding;
