strongs_id,definition,short_def,etymology
H664,"Aphekah = ""enclosure""
1) a city near Hebron in Judah
2) (BDB) possibly a group of cities including Hebron","Aphekah, a place in Palestine",feminine of ; fortress;
H665,"1) ashes
2) (CLBL) worthlessness (fig.)",ashes,from an unused root meaning to bestrew;
H666,"1) covering, bandage",a turban,from the same as (in the sense of covering);
H667,"1) young, young one (of birds)
2) young birds",the brood of a bird,from (in the sense of bursting the shell);
H668,"1) sedan, litter, palanquin
2) (CLBL) chariot",a palanquin,probably of Egyptian derivation;
H669,"Ephraim = ""double ash-heap: I shall be doubly fruitful""
1) second son of Joseph, blessed by him and given preference over first son, Manasseh
2) the tribe, Ephraim
3) the mountain country of Ephraim
4) sometimes used name for the northern kingdom (Hosea or Isaiah)
5) a city near Baal-hazor
6) a chief gate of Jerusalem","Ephrajim, a son of Joseph; also the tribe descended from him, and its territory",dual of masculine form of ; double fruit;
H670,"Apharsite = ""causers of division (?)""
1) (CLBL) an unknown office
2) (BDB) secretaries
3) (TWOT) perhaps a title of an official",an Apherasite or inhabitant of an unknown region of Assyria,(Aramaic) of foreign origin (only in the plural);
H671,"Apharsachites = ""as causers of division (?)"" Apharsathchites = ""I will divide the deceivers (?)""
1) (CLBL) an unknown office
2) (BDB) perhaps an office or an official
3) (TWOT)
3a) a people
3b) perhaps a title of an official","an Apharsekite or Apharsathkite, an unknown Assyrian tribe","(Aramaic) or ; (Aramaic), of foreign origin (only in the plural);"
H672,"Ephrath or Ephratah = ""ash-heap: place of fruitfulness""
n pr loc
1) a place near Bethel where Rachel died and was buried
2) another name for Bethlehem
n pr f
3) wife of Caleb","Ephrath, another name for Bethlehem;",or ; from ; fruitfulness;
H673,"Ephrathite = ""ashiness: fruitfulness""
1) an inhabitant or descendant of Ephraim
2) an inhabitant of Bethlehem",an Ephrathite or an Ephraimite,patrial from ;
H674,"1) treasury, treasuries
2) (CLBL) revenue",revenue; others at the last,(Aramaic) of Persian origin;
H675,"Ezbon = ""hasting to discern: I will be enlargement""
1) a son of Gad
2) grandson of Benjamin","Etsbon, the name of two Israelites",or ; of uncertain derivation;
H676,"1) finger, toe","something to sieze with, i.e. a finger; by analogy, a toe",from the same as (in the sense of grasping);
H677,"1) finger, toe","{something to sieze with, i.e. a finger; by analogy, a toe}",(Aramaic) corresponding to
H678,"1) side, corner, chief
2) (CLBL) nobles (fig.)","an extremity (Isaiah 41:9), also a noble",from (in its secondary sense of separation);
H679,"1) joining, joint (such as elbow etc)",a joint of the hand (i.e. knuckle); also (according to some) a party-wall (Ezekiel 41:8),from (in its primary sense of uniting);
H680,"1) to lay aside, reserve, withdraw, withhold
1a) (Qal) to reserve, set apart, withhold
1b) (Niphal) to be withdrawn
1c) (Hiphil) to withdraw","to separate; hence, to select, refuse, contract","a primitive root; properly, to join; used only as a denominative from ;"
H681,"n m
1) beside, by, near, nearness, joining, proximity
subst
2) (BDB)
2a) conjunction, proximity
2b) beside, in proximity, contiguous to, from beside",a side; (as a preposition) near,from (in the sense of joining);
H682,"Azal = ""proximity: he has reserved""
n pr loc
1) a place near Jerusalem, site presently unknown
Azel = ""reserved""
n pr m (CLBL)
2) a Benjamite descendant of Saul and Jonathan","Atsel, the name of an Israelite, and of a place in Palestine",from ; noble;
H683,"Azaliah = ""Jehovah (Yahweh) has reserved (set apart)""
1) the father of Shaphan the scribe","Atsaljah, an Israelite",from and prolonged; Jah has reserved;
H684,"Ozem = ""I shall hasten them""
1) older brother of David
2) a descendant of Judah","Otsem, the name of two Israelites",from an unused root probably meaning to be strong; strength (i.e. strong);
H685,"1) armlet, bracelet, ankle chain","properly, a step-chain; by analogy, a bracelet",a variation from ;
H686,"1) to store up, save, lay up
1a) (Qal) to store up, make treasurer
1b) (Niphal) treasured",to store up,a primitive root;
H687,"Ezer = ""treasure""
1) a chief of the Horites","Etser, an Idumaean",from ; treasure;
H688,"1) fiery glow, sparkle
2) (CLBL) the name of a gem-carbuncle","burning, i.e. a carbuncle or other fiery gem",from ;
H689,1) wild goat,"slender, i.e. the ibex",probably from ;
H690,"Ara = ""lion""
1) a descendant of Asher","Ara, an Israelite",probably for ; lion;
H691,"1) (CLBL) hero, valiant one
2) (BDB) form and meaning dubious
3) (TWOT) Ariel or hearth",a hero (collectively),probably for ;
H692,"Areli = ""lion of God""
1) a son of Gad
2) those of the family of Areli (pater adj-Arelites)","Areli (or an Arelite, collectively), an Israelite and his descendants",from ; heroic;
H693,"1) to lie in wait, ambush, lurk
1a) (Qal)
1a1) to lie in wait
1a2) ambush (participle as subst)
1b) (Piel) ambushers, liers-in-wait (pl. participle)
1c) (Hiphil) to lay an ambush",to lurk,a primitive root;
H694,"Arab = ""ambush""
1) a city near Hebron","Arab, a place in Palestine",from ; ambush;
H695,"1) a lying-in-wait
2) covert, lair, den",ambuscade,from ;
H696,"1) ambuscade, hiding place
2) treachery, deceit (fig.)",{ambuscade},the same as
H697,"1) a kind of locust, locust swarm (coll)
2) (CLBL)
2a) sudden disappearance (fig.)
2b) insignificance (fig.)
2c) activity (fig.)",a locust (from its rapid increase),from ;
H698,"1) artifice, deceit, trick",ambuscades,feminine of (only in the plural);
H699,"1) lattice, window, sluice
2) (CLBL) chimney (lattice opening where smoke escapes)","a lattice; (by implication) a window, dovecot (because of the pigeon-holes), chimney (with its apertures for smoke), sluice (with openings for water)",feminine participle passive of (as if for lurking);
H700,"Aruboth = ""windows""
1) a district marked by Solomon for tax purposes","Arubboth, a place in Palestine",plural of ;
H701,"Arbite = ""an ambush""
1) a native of Arabia",an Arbite or native of Arab,patrial from ;
H702,1) four,four,masculine ; from ;
H703,1) four,{four},(Aramaic) corresponding to
H704,"Arba = ""fourth""
1) the father of Anak and the greatest of the giants (Anakim)
2) see H07153 if translated ""city of Arba""","Arba, one of the Anakim",the same as ;
H705,1) forty,forty,multiple of ;
H706,1) fourfold,fourfold,dual of ;
H707,"1) to weave
1a) (Qal)
1a1) to weave (cloth)
1a2) to braid (Samson's hair)
1a3) weaver (subst.)
1a4) intrigue (fig.)",to plait or weave,a primitive root;
H708,"1) loom, shuttle",a weaving; a braid; also a shuttle,from ;
H709,"Argob = ""heap of clods""
n pr loc
1) a district or area in Bashan
n pr m
2) one of king Pekah's officers","Argob, a district of Palestine",from the same as ; stony;
H710,1) purple,purple,a variation for ;
H711,"1) purple, red-purple",{purple},(Aramaic) corresponding to
H712,"1) box, chest, coffer",a box (as a pannier),"perhaps from (in the sense of being suspended),"
H713,"1) purple, red-purple",purple (the color or the dyed stuff),of foreign origin;
H714,"Ard = ""I shall subdue""
1) son of Benjamin
2) grandson of Benjamin","Ard, the name of two Israelites",from an unused root probably meaning to wander; fugitive;
H715,"Ardon = ""subduer: fugitive""
1) a son of Caleb","Ardon, an Israelite",from the same as ; roaming;
H716,"Ardites = ""I shall subdue""
1) the descendants of Ard",an Ardite (collectively) or descendant of Ard,patronymic from ;
H717,"1) to pluck, gather
1a) (Qal) to pluck (grapes)",to pluck,a primitive root;
H718,"1) behold, lo",lo!,(Aramaic) probably akin to ;
H719,"Arvad = ""I shall break loose""
1) a city-island near Sidon","Arvad, an island-city of Palestine",probably from ; a refuge for the roving;
H720,"Arod = ""I shall subdue: I shall roam""
1) a son of Gad","Arod, an Israelite",an orthographical variation of ; fugitive;
H721,"Arvadites = ""I shall break loose""
1) the descendants of Arvad, a son of Canaan",an Arvadite or citizen of Arvad,patrial from ;
H722,"Arodi or Arodites = ""I shall subdue: I shall roam""
1) descendants of Arod",an Arodite or descendant of Arod,patronymic from ;
H723,"1) manger, crib, stall (for animals)",a herding-place for an animal,or ; from (in the sense of feeding);
H724,"1) healing, restoration",wholeness (literally or figuratively),or ; feminine passive participle of (in the sense of restoring to soundness);
H725,"Arumah = ""I shall be exalted""
1) a place near Shechem, home of Abimelech","Arumah, a place in Palestine",a variation of ; height;
H726,"1) Aramite, Syrian (Kethib), Edomite",an Edomite (as in the margin),a clerical error for ;
H727,"1) chest, ark
1a) money chest
1b) Ark of the Covenant
2)(TWOT) coffin",a box,or ; from (in the sense of gathering);
H728,"Araunah = ""I shall shout for joy"" = ""make ye to shine"" (2 Sa 24:16) or ""joyful shouting of Jah"" (2Sa 24:18)
1) a Jebusite who sold David the site for an altar","Aravnah (or Arnijah or Ornah), a Jebusite","or (by transposition) ; or lemma אַנִיָּה missing resh, corrected to אַרְנִיָּה; all by orthographical variation for ;"
H729,"(CLBL) v
1) (CLBL) to be firm
2) (CLBL) made firm (past part.)
adj
3) (BDB/TWOT) firm, strong",of cedar,a primitive root; to be firm; used only in the passive participle as a denominative from ;
H730,"1) cedar
1a) cedar tree
1b) cedar timber, cedar wood (in building)
1c) cedar wood (in purifications)",a cedar tree (from the tenacity of its roots),from ;
H731,"1) cedar-panels, cedar-work",cedar wainscoating,feminine of ;
H732,"1) to wander, journey, go, keep company with
1a) (Qal)
1a1) to journey, go
1a2) (part.)
1a2a) wandering, wayfarer, journeying
1a3) (subst.)
1a3a) wanderer, wayfarer, traveller",to travel,a primitive root;
H733,"Arah = ""traveller""
1) a man of Asher
2) the prominent head of a family of returning exiles
3) another returned exile","Arach, the name of three Israelites",from ; way faring;
H734,"1) way, path
1a) path, road
1b) the path, way, passing of life (fig.)
1c) way of living (fig.)
1d) traveller, wayfarer (meton)",a well-trodden road (literally or figuratively); also a caravan,from ;
H735,"1) way, path, course of life",a road,(Aramaic) corresponding to ;
H736,"1) caravan, travelling company",a caravan,feminine active participle of ;
H737,"1) meal, allowance, ration
1a) food
1b) diet",a ration of food,feminine passive participle of (in the sense of appointing);
H738,"1) lion
1a) pictures or images of lions",a lion,or (prolonged) []; from (in the sense of violence);
H739,"1) meaning uncertain
1a) (CLBL) possibly lion-like
1b) (BDB) possibly two sons of Ariel of Moab",lion of God; i.e. heroic,or ; from and ;
H740,"Ariel = ""lion of God"" or ""lioness of God""
1) a name applied to Jerusalem
2) the name of a chief of the returning exiles","Ariel, a symbolical name for Jerusalem, also the name of an Israelite",the same as ;
H741,"1) hearth, altar hearth, altar",the altar of the temple,"either by transposition for or, more probably, an orthographical variation for ;"
H742,"Aridai = ""the lion is enough""
1) a son of Haman","Aridai, a son of Haman",of Persian origin;
H743,"Aridatha = ""the lion of the decree""
1) a son of Haman","Aridatha, a son of Haman",of Persian origin;
H744,1) lion,{a lion},(Aramaic) corresponding to
H745,"Arieh = ""lion""
1) an officer of king Pekahiah","Arjeh, an Israelite",the same as ; lion;
H746,"Arioch = ""lion-like""
1) the ancient king of Ellasar, ally of Chedorlaomer
2) the chief of the executioners for Nebuchadnezzar","Arjok, the name of two Babylonians",of foreign origin;
H747,"Arisai = ""lion of my banners (?)""
1) a son of Haman","Arisai, a son of Haman",of Persian origin;
H748,"1) to be long, prolong
1a) (Qal) to be long
1b) (Hiphil)
1b1) to prolong (days)
1b2) to make long (tent cords)
1b3) to grow long, continue long","to be (causative, make) long (literally or figuratively)",a primitive root;
H749,"v
1) (CLBL) (P'al) to be long, reach, meet
adj v
2)(BDB/TWOT) fitting, proper",to suit,"(Aramaic) properly, corresponding to , but used only in the sense of reaching to a given point;"
H750,"1) long (pinions)
2) patient, slow to anger",long,from ;
