strongs_id,definition,short_def,etymology
H181,"1) brand, fire brand",a poker (for turning or gathering embers),from an unused root meaning to rake together;
H182,"1) cause
1a) cause, reason for
1b) the occasion of",turnings (i.e. occasions); (adverb) on account of,or (shortened) (only thus in the plural); from the same as ;
H183,"1) desire, incline, covet, wait longingly, wish, sigh, want, be greedy, prefer
1a) (Piel) to desire, crave (food and drink)
1b) (Hithpael) to desire, long for, lust after (of bodily appetites)",to wish for,a primitive root;
H184,"1) to sign, mark, describe with a mark
1a) (Hithpael) to measure, mark out, mark you out",to extend or mark out,a primitive root;
H185,"1) desire, lust, will (not necessarily evil)",longing,from ;
H186,"Uzai = ""I shall have my sprinklings""
1) a Judean, one of the repairers of Jerusalem's walls","Uzai, an Israelite","perhaps by permutation for , strong;"
H187,"Uzal = ""I shall be flooded""
1) sixth son Joktan","Uzal, a son of Joktan",of uncertain derivation;
H188,"1) woe! alas! oh!
1a) passionate cry of grief or despair",lamentation; also interjectionally Oh!,probably from (in the sense of crying out after);
H189,"Evi = ""my desire""
1) one of five chiefs of Midian","Evi, a Midianitish chief",probably from ; desirous;
H190,1) woe!,{lamentation; also interjectionally Oh!},feminine of
H191,"1) be foolish, foolish
1a) (subst)
1a1) of one who despises wisdom
1a2) of one who mocks when guilty
1a3) of one who is quarrelsome
1a4) of one who is licentious",(figuratively) silly,from an unused root (meaning to be perverse);
H192,"Evil Merodach = ""man of Merodach""
1) son and successor of Nebuchadnezzar, king of Neo-Babylonian empire, 562-560 BC","Evil-Merodak, a Babylonian king",of Aramaic derivation and probably meaning soldier of Merodak;
H193,"1) prominence
1a) body, belly (contemptuous)
1b) nobles, wealthy men",the body (as being rolled together); also powerful,"from an unused root meaning to twist, i.e. (by implication) be strong;"
H194,"1) perhaps, peradventure
2) if peradventure
3) unless
4) suppose",if not; hence perhaps,or (shortened) ; from ;
H195,"Ulai = ""my leaders (mighties)""
1) river of Elam","the Ulai (or Eulaeus), a river of Persia",of Persian derivation;
H196,1) foolish,"silly, foolish; hence (morally) impious",from ;
H197,"1) porch
1a) in Solomon's temple
1b) in Solomon's palace
1c) in temple of Ezekiel's vision",a vestibule (as bound to the building),"or (shortened), ; from (in the sense of tying);"
H198,"Ulam = ""their leader: vestibule""
1) a Manassite
2) a Benjamite of Saul's family","Ulam, the name of two Israelites","appar, from (in the sense of dumbness); solitary;"
H199,"1) but, but indeed (a strong adversative)
2) however, nevertheless",however or on the contrary,apparently a variation of ;
H200,"1) foolishness, folly",silliness,from the same as ;
