strongs_id,definition,short_def,etymology
H115,"Adoraim = ""double glory""
1) city in Judah fortified by Rehoboam about 5 miles or 8 km SW of Hebron","Adorajim, a place in Palestine",dual from (in the sense of eminence); double mound;
H116,"1) then, afterwards, thereupon, from that time",then (of time),(Aramaic) of uncertain derivation;
H117,"1) great, majestic
1a) of waters of sea
1b) of a tree
1c) of kings, nations, gods
2) great one, majestic one
2a) of nobles, chieftains, servants","wide or (generally) large; figuratively, powerful",from ;
H118,"Adalia = ""I shall be drawn up of Jah""
1) fifth son of Haman, executed at same time","Adalja, a son of Haman",of Persian derivation;
H119,"1) to be red, red
1a) (Qal) ruddy (of Nazarites)
1b) (Pual)
1b1) to be rubbed red
1b2) dyed red
1b3) reddened
1c) (Hiphil)
1c1) to cause to show red
1c2) to glare
1c3) to emit (show) redness
1d) (Hithpael)
1d1) to redden
1d2) to grow red
1d3) to look red",flush or turn rosy,"to show blood (in the face), i.e."
H120,"1) man, mankind
1a) man, human being
1b) man, mankind (much more frequently intended sense in OT)
1c) Adam, first man
1d) city in Jordan valley","ruddy i.e. a human being (an individual or the species, mankind, etc.)",from ;
H121,"Adam = ""red""
1) first man
2) city in Jordan valley","Adam the name of the first man, also of a place in Palestine",the same as ;
H122,"1) red, ruddy (of man, horse, heifer, garment, water, lentils)",rosy,from ;
H123,"Edom = ""red""
1) Edom
2) Edomite, Idumean-descendants of Esau
3) land of Edom, Idumea-land south and south east of Palestine","Edom, the elder twin-brother of Jacob; hence the region (Idumaea) occupied by him",or (fully) ; from ; red (see Genesis 25:25);
H124,"1) ruby, carnelian (redness)
1a) precious stone","redness, i.e. the ruby, garnet, or some other red gem",from ;
H125,"1) reddish, be reddish",reddish,reduplicated from ;
H126,"Admah = ""red earth""
1) city in the Siddim valley","Admah, a place near the Dead Sea",contracted for ; earthy;
H127,"1) ground, land
1a) ground (as general, tilled, yielding sustenance)
1b) piece of ground, a specific plot of land
1c) earth substance (for building or constructing)
1d) ground as earth's visible surface
1e) land, territory, country
1f) whole inhabited earth
1g) city in Naphtali",soil (from its general redness),from ;
H128,"Adamah = ""the earth""
1) city in Naphtali","Adamah, a place in Palestine",the same as ;
H129,"Adami = ""man of Adar""
1) a pass or fortified place in Naphtali","Adami, a place in Palestine",from ; earthy;
H130,1) Edomite,"an Edomite, or descendants from (or inhabitants of) Edom",or (fully) ; patronymic from ; See .
H131,"Adummim = ""ruddy one: quieted ones?""
1) pass or ridge of hills, west of Gilgal","Adummim, a pass in Palestine",plural of ; red spots;
H132,"1) red, ruddy (of Esau as infant)",reddish (of the hair or the complexion),or (fully) ; from ;
H133,"Admatha = ""a testimony to them""
1) prince of Persia in reign of Ahasuerus (Xerxes)","Admatha, a Persian nobleman",probably of Persian derivation;
H134,"1) base, pedestal, socket (strong, firm)
1a) pedestals of gold on which marble pillars were set
1b) pedestals of the earth, foundation of the earth
1c) pedestals, bases, or sockets on which tabernacle stood","a basis (of a building, a column, etc.)",from the same as (in the sense of strength);
H135,"Addan = ""strong, firm""
1) place in Babylon, from which exiles returned","Addan, an Israelite",intensive from the same as ; firm;
H136,"1) my lord, lord
1a) of men
1b) of God
2) Lord-title, spoken in place of Yahweh in Jewish display of reverence",the Lord (used as a proper name of God only),an emphatic form of ;
H137,"Adoni-Bezek = ""my lord is Besek""
1) king of the Canaanite city of Bezek, killed by Israelites",Adoni-Bezek; a Canaanitish king,from and ; lord of Bezek;
H138,"Adonijah = ""my lord is Jehovah""
1) fourth son of David and Solomon's rival for the throne
2) Levite sent by Jehoshaphat to teach the Law
3) a chief of the people who co-operated with Nehemiah","Adonijah, the name of three Israelites",original (prolonged) ; from and ; lord (i.e. worshipper) of Jah;
