strongs_id,definition,short_def,etymology
H401,"Ucal = ""devoured""
1) student or disciple of Agur","Ucal, a fancy name",or ; apparently from ; devoured;
H402,"1) food
1a) food, eating
1b) object of devouring, consuming
1b1) by wild beasts (figurative)
1b2) in fire
1b3) of judgment (figurative)",food,feminine of ;
H403,"1) surely, truly, indeed
1a) truly, indeed (strong assertive force)
1b) but indeed, but in fact (emphasizing a contrast)","firmly; figuratively, surely; also (advers.) but",from (compare );
H404,"1) press, urge, bend
1a) (Qal)
1a1) to crave",to urge,a primitive root; apparently meaning to curve (as with a burden);
H405,"1) pressure, urgency, burden","a load; by implication, a stroke (others dignity)",from ;
H406,"1) plowman, husbandman, farmer
1a) working the land, yet not owning any of it",a farmer,from an unused root meaning to dig;
H407,"Achshaph = ""I shall be bewitched""
1) city in north Canaan at foot of Mt Carmel","Acshaph, a place in Palestine",from ; fascination;
H408,"1) not, no, nor, neither, nothing (as wish or preference)
1a) do not, let not (with a verb)
1b) let there not be (with a verb understood)
1c) not, no (with substantive)
1d) nothing (as substantive)","not (the qualified negation, used as a deprecative); once (Job 24:25) as a noun, nothing",a negative particle (akin to );
H409,"1) no, not","{not (the qualified negation, used as a deprecative); once (Job 24:25) as a noun, nothing}",(Aramaic) corresponding to
H410,"1) god, god-like one, mighty one
1a) mighty men, men of rank, mighty heroes
1b) angels
1c) god, false god, (demons, imaginations)
1d) God, the one true God, Jehovah
2) mighty things in nature
3) strength, power","strength; as adjective, mighty; especially the Almighty (but used also of any deity)",shortened from ;
H411,"1) these, those",these or those,a demonstrative particle (but only in a plural sense)
H412,1) these,{these or those},(Aramaic) corresponding to
H413,"1) to, toward, unto (of motion)
2) into (limit is actually entered)
2a) in among
3) toward (of direction, not necessarily physical motion)
4) against (motion or direction of a hostile character)
5) in addition to, to
6) concerning, in regard to, in reference to, on account of
7) according to (rule or standard)
8) at, by, against (of one's presence)
9) in between, in within, to within, unto (idea of motion to)","near, with or among; often in general, to","(but only used in the shortened constructive form ); a primitive particle; properly, denoting motion towards, but occasionally used of a quiescent position, i.e."
H414,"Elah = ""oak""
1) father of one of Solomon's deputies","Ela, an Israelite","a variation of lemma אִלָה first vowel, corrected to אֵלָה; oak;"
H415,"El-elohe-Israel = ""the mighty God of Israel""
1) name given to an altar, a location, by Jacob","El-Elohi-Jisrael, the title given to a consecrated spot by Jacob",from and and ; the mighty god if Jisrael;
H416,"El Bethel = ""The God of the House of God""
1) the place where God revealed Himself to Jacob","El-Bethel, the title given to a consecrated spot by Jacob",from and ; the God of Bethel;
H417,1) hail (lit. -pearls of God),hail (as if a great pearl),from and ;
H418,"1) a tree (from Lebanon), algum trees",sticks of algum wood,by transposition for ;
H419,"Eldad = ""God has loved""
1) one of the two elders who prophesied in the Israelite camp","Eldad, an Israelite",from and ; God has loved;
H420,"Eldaah = ""God has known""
1) a son or descendant of Midian","Eldaah, a son of Midian",from and ; God of knowledge;
H421,"1) (Qal) to lament, wail",to bewail,a primitive root (rather identical with through the idea of invocation);
H422,"1) to swear, curse
1a) (Qal)
1a1) to swear, take an oath (before God)
1a2) to curse
1b) (Hiphil)
1b1) to put under oath, adjure
1b2) to put under a curse","properly, to adjure, i.e. (usually in a bad sense) imprecate",a primitive root;
H423,"1) oath
2) oath of covenant
3) curse
3a) from God
3b) from men
4) execration",an imprecation,from ;
H424,"1) terebinth, terebinth tree
2) valley where David killed Goliath",an oak or other strong tree,feminine of ;
H425,"Elah = ""An oak""
1) an Edomite chief
2) a king of Israel for two years, son of Baasha
3) the father of king Hoshea of Israel
4) a son of Caleb
5) son of Uzzi","Elah, the name of an Edomite, of four Israelites, and also of a place in Palestine","the same as lemma אִלָה first vowel, corrected to אֵלָה;"
H426,"1) god, God
1a) god, heathen deity
1b) God (of Israel)",God,(Aramaic) corresponding to ;
H427,"1) oak
2) terebinth",{an oak or other strong tree},"A variation of lemma אִלָה first vowel, corrected to אֵלָה"
H428,"1) these
1a) used before antecedent
1b) used following antecedent",these or those,prolonged from ;
H429,1) these,{these or those},(Aramaic) corresponding to
H430,"1) (plural)
1a) rulers, judges
1b) divine ones
1c) angels
1d) gods
2) (plural intensive-singular meaning)
2a) god, goddess
2b) godlike one
2c) works or special possessions of God
2d) the (true) God
2e) God","gods in the ordinary sense; but specifically used (in the plural thus, especially with the article) of the supreme God; occasionally applied by way of deference to magistrates; and sometimes as a superlative",plural of ;
H431,"1) behold!, lo!",lo!,(Aramaic) probably prolonged from ;
H432,"1) if, though (contrary to fact)","nay, i.e. (softened) if",probably from ;
H433,"1) God
2) false god",a deity or the Deity,rarely (shortened) ; probably prolonged (emphatic) from ;
H434,"1) worthless, something worthless, ineffective
2) worthless gods, idols",good for nothing,for ;
H435,"Elul = ""nothingness""
1) sixth Jewish month corresponding to modern Aug. or Sep.","Elul, the sixth Jewish month",probably of foreign derivation;
H436,"1) tree, great tree, terebinth
2) plain",an oak or other strong tree,prolonged from ;
H437,"1) oak, great tree",{an oak or other strong tree},a variation of
H438,"Allon = ""great tree"" or ""oak""
1) city in Naphtali
2) a Simeonite","Allon, an Israelite, also a place in Palestine",the same as ;
H439,"Allon Bachuth = ""oak of weeping""
1) site of Deborah's (Rebekah's nurse) grave near Bethel","Allon-Bakuth, a monumental tree",from and a variation of ; oak of weeping;
H440,"Elonite = ""might"" or ""terebinth: a plain""
1) one of the clan of Elon",an Elonite or descendant (collectively) of Elon,or rather (shortened) ; patron from ;
H441,"1) tame, docile
2) friend, intimate
3) chief","familiar; a friend, also gentle; hence, a bullock (as being tame; applied, although masculine, to a cow); and so, a chieftain (as notable, like neat cattle)",or (shortened) ; from ;
