strongs_id,definition,short_def,etymology
H442,"Alush = ""I will knead (bread)""
1) a wilderness encampment following the Exodus","Alush, a place in the Desert",of uncertain derivation;
H443,"Elzabad = ""God has given""
1) a Gadite warrior who aided David
2) a Korhite Levite","Elzabad, the name of two Israelites",from and ; God has bestowed;
H444,"1) (Niphal) to be corrupt morally, tainted","to muddle, i.e. (figuratively and intransitive) to turn (morally) corrupt",a primitive root;
H445,"Elhanan = ""God has been gracious""
1) Jair's son who fought the Gittites
2) Dodo's son who was a chief of David","Elchanan, an Israelite",from and ; God (is) gracious;
H446,"Eliab = ""my God is father"" or ""God is father""
1) son of Helon, leader of Zebulun in the wilderness
2) a Reubenite chief, father of Dathan and Abiram
3) David's oldest brother
4) a Levite musician
5) a Gadite warrior for David
6) a Kohathite","Eliab, the name of six Israelites",from and ; God of (his) father;
H447,"Eliel = ""my God is God"" or ""El is God""
1) an ancestor of Samuel
2) chief in David's army (might be two or three different men)
3) a Levite with David in moving the ark
4) a chief of Manasseh
5) two chiefs of Benjamin
6) a chief Kohathite
7) a Levite","Eliel, the name of nine Israelites",from repeated; God of (his) God;
H448,"Eliathah = ""God has come""
1) a Hemanite musician in David's court","Eliathah, an Israelite",or (contraction) ; from and ; God of (his) consent;
H449,"Elidad = ""my God has loved""
1) a Benjamite chief who helped apportion his tribe's allotment to the Promised Land","Elidad, an Israelite",from the same as ; God of (his) love;
H450,"Eliadah or Eliada = ""God knows""
1) a son of David
2) a Benjamite warrior chief
3) an Aramean, the father of an enemy of Solomon","Eljada, the name of two Israelites and of an Aramaean leader",from and ; God (is) knowing;
H451,"1) tail, fat-tail (of sheep-an Eastern delicacy)","the stout part, i.e. the fat tail of the Oriental sheep",from (in the original sense of strength);
H452,"Elijah or Eliah = ""my God is Jehovah"" or ""Yah(u) is God""
1) the great prophet of the reign of Ahab
2) Benjamite son of Jeroham
3) a son of Elam with foreign wife during exile
4) a son of Harim, and priest, with foreign wife during exile","Elijah, the name of the famous prophet and of two other Israelites",or prolonged ; from and ; God of Jehovah;
H453,"Elihu = ""He is my God""
1) the younger man who rebuked Job and his three friends
2) an Ephraimite, Samuel's great grandfather
3) a Manassite warrior chief for David
4) son of Shemaiah and Korhite gatekeeper
5) David's brother","Elihu, the name of one of Job's friends, and of three Israelites",or (fully) ; from and ; God of him;
H454,"Elioenai or Elihoenai = ""unto Jehovah are my eyes""
1) a Korahite temple doorkeeper, son of Meshelemiah
2) two men with foreign wife during the exile; one a priest
3) a son of Neariah
4) a Simeonite
5) a Benjamite, son of Becher","Eljehoenai or Eljoenai, the name of seven Israelites",or (shortened) ; from and and ; towards Jehovah (are) my eyes;
H455,"Eliahba = ""God hides""
1) one of David's mighty warriors","Eljachba, an Israelite",from and ; God will hide;
H456,"Elihoreph = ""God of winter (harvest-time)""
1) a scribe in Solomon's court","Elichoreph, an Israelite",from and ; God of autumn;
H457,"1) of nought, good for nothing, worthless
1a) of physicians, a shepherd, a divination
1b) of false gods","good for nothing, by anal. vain or vanity; specifically an idol",apparently from ;
H458,"Elimelech = ""my God is king""
1) Naomi's husband","Elimelek, an Israelite",from and ; God of (the) king;
H459,"1) these, those",these,(Aramaic) or shorter ; prolonged from ;
H460,"Eliasaph = ""God has added""
1) a Gadite chief in the wilderness census
2) a head of the Gershonites","Eljasaph, the name of two Israelites",from and ; God (is) gatherer;
H461,"Eliezer = ""God is help""
1) Abraham's Damascene servant
2) a son of Moses
3) a Benjamite
4) a priest who helped move the ark
5) a Reubenite
6) a prophet who spoke to Jehoshaphat
7) a Levite chief
8) son of Harim
9) priest with foreign wife","Eliezer, the name of a Damascene and of ten Israelites",from and ; God of help;
H462,"Elienai = ""unto God are my eyes""
1) a Benjamite","Elienai, an Israelite",probably contracted for ;
H463,"Eliam = ""God of the people"" or ""God is kinsman""
1) Bathsheba's father
2) a Gilonite warrior of David","Eliam, an Israelite",from and ; God of (the) people;
H464,"Eliphaz = ""my God is (fine) gold""
1) Esau's son, father of Teman
2) the Temanite friend of Job","Eliphaz, the name of one of Job's friends, and of a son of Esau",from and ; God of gold;
H465,"Eliphal = ""my God is supplication""
1) one of David's mighty warriors","Eliphal, an Israelite",from and ; God of judgment;
H466,"Elipheleh = ""my God sets him apart"" or ""my God distinguishes him""
1) a Levite gatekeeper and musician for David","Eliphelehu, an Israelite",from and ; God of his distinction;
H467,"Elpalet or Eliphalet or Eliphelet = ""God is deliverance""
1) David's youngest son
2) one of David's mighty warriors
3) a Benjamite descendant of Jonathan
4) a leader of the clan of Adonikam
5) one of the line of Hashum","Eliphelet or Elpelet, the name of six Israelites",or (shortened) ; from and ; God of deliverance;
H468,"Elizur = ""my God is a rock"" or ""Rock is God""
1) a chief of Reuben in the wilderness","Elitsur, an Israelite",from and ; God of (the) rock;
H469,"Elizaphan or Elzaphan = ""my God has protected""
1) a Kohathite chief in the wilderness
2) a Zebulunite chief
3) Uzziel's son, Mishael's brother in time of Moses","Elitsaphan or Eltsaphan, an Israelite",or (shortened) ; from and ; God of treasure;
H470,"Elika = ""my God rejects""
1) one of David's mighty warriors","Elika, an Israelite",from and ; God of rejection;
H471,"Eliakim = ""God raises"" or ""God sets up""
1) the son of Hilkiah, master of Hezekiah's household
2) Josiah's son, enthroned by Pharaoh
3) a priest who assisted Nehemiah","Eljakim, the name of four Israelites",from and ; God of raising;
H472,"Elisheba = ""my God has sworn"" or ""God is an oath""
1) Aaron's wife","Elisheba, the wife of Aaron",from and (in the sense of ); God of (the) oath;
H473,"Elishah = ""God of the coming (one)""
1) descendant of Noah, son of Javan; perhaps ancestor of the Aeolians","Elishah, a son of Javan",probably of foreign derivation;
H474,"Elishua = ""my God is wealth"" or ""God is salvation""
1) a son of David","Elishua, the son of King David",from and ; God of supplication (or of riches);
H475,"Eliashib = ""God restores""
1) a priest in David's reign
2) a descendant of David
3) a high priest in Nehemiah's time
4) a temple singer with foreign wife
5) one of the line of Zattu
6) one of the line of Bani","Eljashib, the name of six Israelites",from and ; God will restore;
H476,"Elishama = ""my God has heard""
1) an Ephraimite chief in the wilderness
2) a son of David
3) Jehoiakim's secretary
4) a priest who taught the law
5) a man of Judah","Elishama, the name of seven Israelites",from and ; God of hearing;
H477,"Elisha = ""God is salvation""
1) the great prophet who succeeded Elijah","Elisha, the famous prophet",contracted for .;
H478,"Elishaphat = ""my God has judged""
1) a captain for the high priest Jehoiada","Elishaphat, an Israelite",from and ; God of judgment;
H479,"1) these, those",these,(Aramaic) prolonged from ;
H480,1) woe! alas!,alas!,by reduplication from ;
H481,"1) to bind
1a) (Niphal)
1a1) to be dumb
1a2) to be bound
1b) (Piel) binding (part.)",to tie fast; hence (of the mouth) to be tongue-tied,a primitive root;
H482,"1) in silence, silent",silence (i.e. mute justice),from ;
H483,"1) mute, silent, dumb, unable to speak",speechless,from ;
H484,"1) a tree from Lebanon, almug trees (sandalwood?), almug wood",almug (i.e. probably sandle-wood) sticks,probably of foreign derivation (used thus only in the plural);
H485,"1) sheaf (as something bound)
1a) of Israel returning from exile (fig.)",something bound; a sheaf,or (masculine) ; passive participle of ;
H486,"Almodad = ""not measured""
1) a descendant of Shem","Almodad, a son of Joktan",probably of foreign derivation
H487,"Alammelech = ""oak of the king""
1) a town or site in Asher","Allammelek, a place in Palestine",from and ; oak of (the) king;
H488,"1) widowed, forsaken, forsaken as a widow",discarded (as a divorced person),prolonged from in the sense of bereavement;
H489,1) widowhood,bereavement,from as in ;
H490,1) widow,a widow; also a desolate place,feminine of ;
H491,1) widowhood,"concrete, a widow; abstract, widowhood",feminine of ;
H492,"1) someone, a certain one","some one (i.e. so and so, without giving the name of the person or place)",from in the sense of concealment;
H493,"Elnaam = ""God is delight"" or ""God is pleasantness""
1) the father of two of David's mighty warriors","Elnaam, an Israelite",from and ; God (is his) delight;
H494,"Elnathan = ""God has given""
1) king Jehoiachin's maternal grandfather
2) three chief men in Ezra's time
3) son of Achbor, a military commander under Jehoiakim","Elnathan, the name of four Israelites",from and ; God (is the) giver;
H495,"Ellasar = ""God is chastener""
1) a town in Babylonia, c. 28 miles (50 km) E of Ur","Ellasar, an early country of Asia",probably of foreign derivation;
H496,"Elead = ""God has testified""
1) a descendant of Ephraim","Elad, an Israelite",from and ; God has testified;
H497,"Eladah = ""God has adorned""
1) a descendant of Ephraim","Eladah, an Israelite",from and ; God has decked;
H498,"Eluzai = ""God is my strength""
1) a Benjamite warrior who joined David","Eluzai, an Israelite",from and (in the sense of ); God (is) defensive;
H499,"Eleazar = ""God has helped""
1) the high priest son of Aaron
2) Abinadab's son who cared for the ark
3) the priest who rebuilt and dedicated the restored walls of Jerusalem in time of Ezra
4) one of David's mighty warriors
5) a Levite
6) one of the line of Parosh","Elazar, the name of seven Israelites",from and ; God (is) helper;
H500,"Elealeh = ""God is ascending""
1) a Reubenite village near Heshbon (in ruins)","Elale or Elaleh, a place east of the Jordan",or (more properly) ; from and ; God (is) going up;
H501,"Elasah or Eleasah = ""God has made""
1) a descendant of Judah, son of Helez
2) a priest of Pashur's line with a foreign wife during Ezra's time
3) Shaphan's son, Zedekiah's servant
4) a descendant of Benjamin, son of Rapha, father of Azel","Elasah, the name of four Israelites",from and ; God has made;
H502,"1) to learn
1a) (Qal) to learn
1b) (Piel) to teach","hence, to learn (and causatively to teach)","a primitive root, to associate with;"
H503,"v
1) (CLBL) to make thousand-fold, bring forth thousands
2) (TWOT) (Hiphil) producing thousands
n m
3)(BDB) chief, chiliarch","causative, to make athousandfold",denominative from ;
H504,"1) cattle, oxen
1a) in farming
1b) as a possession",a family; also (from the sense of yoking or taming) an ox or cow,from ;
H505,"1) a thousand
1a) as numeral
2) a thousand, company
2a) as a company of men under one leader, troops","hence (the ox's head being the first letter of the alphabet, and this eventually used as a numeral) a thousand","prop, the same as ;"
H506,"1) a thousand, 1000","{hence (the ox's head being the first letter of the alphabet, and this eventually used as a numeral) a thousand}","(Aramaic) or ; (Aramaic), corresponding to"
H507,"Eleph = ""thousand""
1) a city in the territory of Benjamin","Eleph, a place in Palestine",the same as ;
H508,"Elpaal = ""God is maker""
1) a Benjamite","Elpaal, an Israelite",from and ; God (is) act;
H509,1) (Piel) to urge,to press,a primitive root;
H510,"1) (TWOT) (neg adv) no, not, nor, neither
2) (BDB) band of soldiers
3) (CLBL) no rebellion, no uprising (lit.)",a non-rising (i.e. resistlessness),probably from and ;
H511,"Elkanah = ""God has possessed"" or ""God has created""
1) Samuel's father
2) a ruler in Jerusalem in the time of king Ahaz
3) one of David's mighty warriors
4) son of Korah
5) several Levites","Elkanah, the name of several Israelites",from and ; God has obtained;
H512,"Elkoshite = ""God the ensnarer""
1) a native and/or descendant of Elkosh (location unknown)",an Elkoshite or native of Elkosh,patrial from a name of uncertain derivation;
H513,"Eltolad = ""God's generations""
1) a city in southern Judah","Eltolad, a place in Palestine",probably from and a masculine form of (compare ); God (is) generator;
H514,"Eltekeh = ""let God spue thee out""
1) Levitical city in the tribe of Dan, between Ekron and Timna","Eltekeh or Elteke, a place in Palestine",or (more properly) ; of uncertain derivation;
H515,"Eltekon = ""God is straight""
1) a city in the territory of Judah north of Hebron","Eltekon, a place in Palestine",from and ; God (is) straight;
H516,"Al-taschith = ""do not destroy""
1) (Hiphil) a command to the chief musician, or perhaps the title of a melody used for several Psalms",'Thou must not destroy'; probably the opening words to a popular song,from and ;
H517,"1) mother
1a) of humans
1b) of Deborah's relationship to the people (fig.)
1c) of animals
2) point of departure or division",a mother (as the bond of the family); in a wide sense (both literally and figuratively (like father)),a primitive word;
H518,"1) if
1a) conditional clauses
1a1) of possible situations
1a2) of impossible situations
1b) oath contexts
1b1) no, not
1c) if...if, whether...or, whether...or...or
1d) when, whenever
1e) since
1f) interrogative particle
1g) but rather","used very widely as demonstrative, lo!; interrogative, whether?; or conditional, if, although; also Oh that!, when; hence, as a negative, not",a primitive particle;
H519,"1) maid-servant, female slave, maid, handmaid, concubine
1a) of humility (fig.)",a maidservant or female slave,apparently a primitive word;
H520,"1) cubit-a measure of distance (the forearm), roughly 18 in (. 5m). There are several cubits used in the OT, the cubit of a man or common cubit (De 3:11), the legal cubit or cubit of the sanctuary (Eze 40:5) plus others. See a Bible Dictionary for a complete treatment.","properly, a mother (i.e. unit of measure, or the fore-arm (below the elbow), i.e. a cubit; also a door-base (as a bond of the entrance)",prolonged from ;
H521,"1) cubit-a measure of distance (the forearm), roughly 18 in (. 5 m)","{properly, a mother (i.e. unit of measure, or the fore-arm (below the elbow), i.e. a cubit; also a door-base (as a bond of the entrance)}",(Aramaic) corresponding to
H522,"Ammah = ""a cubit""
1) a hill near Gibeon","Ammah, a hill in Palestine",the same as ;
H523,"1) people, tribe, nation","a collection, i.e. community of persons",from the same as ;
H524,"1) people, tribe, nation","{a collection, i.e. community of persons}",(Aramaic) corresponding to
H525,"1) artificer, architect, master workman, skilled workman","skilled, i.e. an architect","from , probably in the sense of training; like"
H526,"Amon = ""skilled workman"" or ""master workman""
1) a king of Judah, son of Manasseh
2) a governor of Samaria
3) a descendant of a servant of Solomon","Amon, the name of three Israelites",the same as ;
H527,"1) artificer, architect, master workman
2) (CLBL) throng, multitude",a throng of people,a variation for ;
H528,"Amon or Amun = ""to nourish: to be faithful""
1) an Egyptian god, originally the local god of Thebes, later head of the Egyptian pantheon","Amon (i.e. Ammon or Amn), a deity of Egypt",of Egyptian derivation; used only as an adjunct of
H529,"1) faithfulness, trusting
1a) faithful, trusty (as adj.)","established, i.e. (figuratively) trusty; also (abstractly) trustworthiness",from ;
H530,"1) firmness, fidelity, steadfastness, steadiness",literally firmness; figuratively security; morally fidelity,or (shortened) ; feminine of ;
H531,"Amoz = ""strong""
1) father of Isaiah","Amots, an Israelite",from ; strong;
H532,"Ami = ""bond-servant""
1) a descendant of Amon, Solomon's servant","Ami, an Israelite",an abbreviated form for ;
H533,"1) strong, mighty",strong or (abstractly) strength,or (shortened) ; from ;
H534,"1) top, summit
1a) of tree
1b) of mountain",a summit (of a tree or mountain),apparently from (in the sense of self-exaltation);
H535,"1) to be weak, to droop, to languish, to be exhausted
1a) (Qal) pass participle (of the heart)
1a1) to be weak
1a2) to droop
1b) (Pulal)
1b1) to be or grow feeble
1b2) to languish","to droop; by implication to be sick, to mourn",a primitive root;
H536,"1) weak, feeble",sick,from ;
H537,"1) weak, feeble",languid,from ;
H538,"Amam = ""their mother""
1) a city in southern Judah","Amam, a place in Palestine",from ; gathering-spot;
H539,"1) to support, confirm, be faithful
1a) (Qal)
1a1) to support, confirm, be faithful, uphold, nourish
1a1a) foster-father (subst.)
1a1b) foster-mother, nurse
1a1c) pillars, supporters of the door
1b) (Niphal)
1b1) to be established, be faithful, be carried, make firm
1b1a) to be carried by a nurse
1b1b) made firm, sure, lasting
1b1c) confirmed, established, sure
1b1d) verified, confirmed
1b1e) reliable, faithful, trusty
1c) (Hiphil)
1c1) to stand firm, to trust, to be certain, to believe in
1c1a) stand firm
1c1b) trust, believe","properly, to build up or support; to foster as a parent or nurse; figuratively to render (or be) firm or faithful, to trust or believe, to be permanent or quiet; morally to be true or certain;","a primitive root; (Isaiah 30:21; interchangeable with , to go to the right hand)"
H540,"1) to confirm, support
1a) (Aphel)
1a1) to believe in
1a2) to trust
1a3) trustworthy (pass participle)","{properly, to build up or support; to foster as a parent or nurse; figuratively to render (or be) firm or faithful, to trust or believe, to be permanent or quiet; morally to be true or certain};",(Aramaic) corresponding to
H541,"1) (Hiphil) to take the right hand, to turn right, choose to the right, go to the right, use the right hand",to take the right hand road,denominative from ;
H542,"1) master-workman, artist, steady-handed one, artisan",an expert,from (in the sense of training);
H543,"1) verily, truly, amen, so be it","sure; abstract, faithfulness; adverb, truly",from ;
H544,1) faithfulness,verity,from ;
H545,"1) bringing up, nourishment, rearing, training, providing for (as a parent)",tutelage,feminine of (in the specific sense of training);
H546,"1) verily, truly, indeed","adverb, surely",feminine form of (in its usual sense);
H547,"1) pillar, supporters of the door
2) confirm, support, uphold",a column,feminine active participle of (in the original sense of supporting);
H548,"1) faith, support, sure, certain
1a) of a covenant
1b) of financial support","something fixed, i.e. a covenant. an allowance",feminine of ;
H549,"Amana = ""support""
1) a river flowing into the plain of Damascus from Antilebanon
2) mountainous area of the river's origin","Amanah, a mountain near Damascus",the same as ;
H550,"Amnon = ""faithful""
1) oldest son of David, rapist of Tamar, slain by Absalom
2) a son of Shimon (of Caleb's clan)","Amnon (or Aminon), a son of David",or ; from ; faithful;
H551,"1) verily, truly, surely",verily,adverb from ;
H552,"1) verily, truly, indeed",{verily},an orthographical variation of
H553,"1) to be strong, alert, courageous, brave, stout, bold, solid, hard
1a) (Qal) to be strong, brave, bold
1b) (Piel) to strengthen, secure (for oneself), harden (heart), make firm, make obstinate, assure
1c) (Hithpael) to be determined, to make oneself alert, strengthen oneself, confirm oneself, persist in, prove superior to
1d) (Hiphil) to exhibit strength, be strong, feel strong","to be alert, physically (on foot) or mentally (in courage)",a primitive root;
H554,"1) strong
2) bay, dappled, piebald (of colour)","of a strong color, i.e. red (others fleet)",probably from ;
H555,1) strength,strength,from ;
H556,1) strength,force,from ;
H557,"Amzi = ""my strength""
1) a Levite
2) the ancestor of a returned exile in the priestly line","Amtsi, an Israelite",from ; strong;
H558,"Amaziah = ""Jehovah is mighty""
1) a king of Judah, son Joash, father of Azariah
2) a priest of Bethel under Jeroboam II
3) father of Joshah, of the tribe of Simeon
4) a Levite tabernacle singer in David's day","Amatsjah, the name of four Israelites",or ; from and ; strength of Jah;
H559,"1) to say, speak, utter
1a) (Qal) to say, to answer, to say in one's heart, to think, to command, to promise, to intend
1b) (Niphal) to be told, to be said, to be called
1c) (Hithpael) to boast, to act proudly
1d) (Hiphil) to avow, to avouch",to say (used with great latitude),a primitive root;
H560,"1) (P'al) to say, to speak, to command, to tell, to relate",{to say (used with great latitude)},(Aramaic) corresponding to
H561,"1) utterance, speech, word, saying, promise, command",something said,from ;
H562,"1) utterance, speech, word, saying, promise, command",{something said},the same as
H563,1) lamb,a lamb,(Aramaic) perhaps from (in the sense of bringing forth);
H564,"Immer = ""he hath said""
1) a priest in David's time
2) a priest in Jeremiah's time
3) the father of Zadok the priest
4) an ancestor of a priest","Immer, the name of five Israelites",from ; talkative;
H565,"1) utterance, speech, word
1a) word of God, the Torah",{something said},"or ; feminine of , and meaning the same"
H566,"Imri = ""eloquent""
1) a man of Judah
2) an ancestor of one of Nehemiah's helpers","Imri, the name of two Israelites",from ;
H567,"Amorite = ""a sayer""
1) one of the peoples of east Canaan and beyond the Jordan, dispossessed by the Israelite incursion from Egypt","an Emorite, one of the Canaanitish tribes","probably a patronymic from an unused name derived from in the sense of publicity, i.e. prominence; thus, a mountaineer;"
H568,"Amariah = ""Jehovah speaks"" or ""Yah(u) has promised""
1) Zadok's grandfather
2) a head priest's son in Solomon's time
3) a chief priest under Jehoshaphat
4) Hezekiah's son, great-grandfather of Zephaniah
5) a Levite in Ezra's time
6) a Levite under Hezekiah
7) a priest in Nehemiah's time","Amarjah, the name of nine Israelites",or prolonged ; from and ; Jah has said (i.e. promised);
H569,"Amraphel = ""sayer of darkness: fall of the sayer""
1) the king of Shinar (Babylon) (perhaps Hammurabi c 2100 BC)","Amraphel, a king of Shinar",of uncertain (perhaps foreign) derivation;
H570,"1) yesterday, last night
2) recently (fig.)",yesterday or last night,"time past, i.e."
H571,"n f
1) firmness, faithfulness, truth
1a) sureness, reliability
1b) stability, continuance
1c) faithfulness, reliableness
1d) truth
1d1) as spoken
1d2) of testimony and judgment
1d3) of divine instruction
1d4) truth as a body of ethical or religious knowledge
1d5) true doctrine
adv
2) in truth, truly","stability; (figuratively) certainty, truth, trustworthiness",contracted from ;
H572,"1) sack, flexible container (for grain)
2) (TWOT) spread out","properly, something expansive, i.e. a bag",from ;
H573,"Amittai = ""my truth""
1) the father of Jonah the prophet","Amittai, an Israelite",from ; veracious;
H574,1) terrible,well-loined (i.e. burly) or mighty,(Aramaic) from a root corresponding to that of ;
H575,"1) where?, whither? (of place)
2) when?, until when?, how long? (of time)","where?; hence, whither?, when?; also hither and thither",or ; contracted from ;
H576,1) I (first pers. sing. -usually used for emphasis),I,"(Aramaic) or ; (Aramaic), corresponding to lemma אֲנַי second vowel, corrected to אֲנִי;"
H577,"1) ah now! I/we beseech you, oh now!, pray now! (participle of entreaty usually followed by the imperative verb)",oh now!,or ; apparent contracted from and ;
H578,1) (Qal) to mourn,to groan,a primitive root;
H579,"1) to meet, encounter, approach, be opportune
1a) (Piel) to allow to meet, cause to meet
1b) (Pual) to be sent, be allowed to meet
1c) (Hithpael) to seek occasion (quarrel), cause oneself to meet","to approach; hence, to meet in various senses",a primitive root (perhaps rather identical with through the idea of contraction in anguish);
H580,1) we (first pers. pl. -usually used for emphasis),we,contracted for ;
H581,"1) these, those, they",they,"(Aramaic) or (feminine) lemma אֵנִּין first vowel, corrected to אִנִּין; (Aramaic), corresponding to ;"
H582,"1) man, mortal man, person, mankind
1a) of an individual
1b) men (collective)
1c) man, mankind",a man in general (singly or collectively),"from ; properly, a mortal (and thus differing from the more dignified ); hence,"
H583,"Enos = ""man""
1) son of Seth","Enosh, a son of Seth",the same as ;
H584,"1) (Niphal) sigh, groan (in pain or grief), gasp
1a) moan (of cattle)",to sigh,a primitive root;
H585,"1) sighing, groaning (expression of grief or physical distress)",sighing,from ;
H586,1) we (first pers. pl.),we,"(Aramaic) or ; (Aramaic), corresponding to ;"
H587,1) we (first pers. pl. -usually used for emphasis),we,apparently from ;
H588,"Anaharath = ""the groaning of fear""
1) (BDB) city in Naphtali
2) (CLBL) city in Issachar","Anacharath, a place in Palestine",probably from the same root as ; a gorge or narrow pass;
H589,1) I (first pers. sing. -usually used for emphasis),I,contracted from ;
H590,"1) fleet, ships",-a ship or (collectively) a fleet,probably from (in the sense of conveyance);
H591,"1) ship
1a) men of ships, seamen",a ship,feminine of ;
H592,"1) mourning, lamentation",groaning,from ;
H593,"Aniam = ""I am the people"" or ""lament of people""
1) a man of Manasseh","Aniam, an Israelite",from and ; groaning of (the) people;
H594,"1) plummet, plumb, lead-weight","according to most a plumb-line, and to others a hook",probably from an unused root meaning to be narrow;
